??,"???(?????)
[???]2015-12-31","???(?????)
[???]2016-12-31","???(?????)
[???]2017-12-31"
000001.SZ,14.66709415,17.8004977,9.989727212
000002.SZ,20.23702605,35.88749172,40.28928529
000060.SZ,11.72675435,6.839271896,11.1952628
000063.SZ,13.82084651,13.46552249,1.6388662
000069.SZ,21.49220276,26.96256279,48.59651978
000100.SZ,20.32576221,31.66034779,8.942154004
000157.SZ,-0.037261676,-4.888869943,-6.721883559
000166.SZ,64.87909695,-17.41172744,8.876583916
000333.SZ,7.107573976,32.41085754,45.43131535
000338.SZ,-6.038323703,41.56599766,15.96097862
000402.SZ,20.65505774,6.772263911,10.97177945
000413.SZ,55.76740573,62.59916024,34.5930702
000415.SZ,94.77194885,64.23853557,38.66567466
000423.SZ,15.40352309,15.571451,24.38764615
000425.SZ,-12.63027467,2.845285471,13.17271433
000503.SZ,3.267054799,0.705496963,-2.92921352
000538.SZ,18.0499282,27.45177564,12.67307669
000540.SZ,27.664934,28.4460027,52.48164694
000559.SZ,7.087771423,-10.39803491,0.100966338
000568.SZ,0.082414961,3.556679911,41.46066666
000623.SZ,44.0428535,2.553627965,7.443701133
000625.SZ,28.3073398,19.12059323,-0.361803959
000627.SZ,14.26208044,4792.747056,19.12166009
000630.SZ,-5.880806808,0.96540242,7.175138057
000651.SZ,3.499350089,12.78413255,17.87207094
000671.SZ,51.79353611,71.61873191,77.07311006
000709.SZ,4.955938599,4.014491945,2.235610335
000723.SZ,-13.29438675,-15.23808528,9.696471571
000725.SZ,12.00277227,34.43287238,24.84886931
000728.SZ,36.51883769,-1.187584836,11.14507705
000768.SZ,10.03655097,4.678563465,3.880805913
000776.SZ,74.55118972,-14.14843323,-0.805087366
000783.SZ,46.67383689,7.49806165,5.655962068
000786.SZ,1.733439309,5.475879342,12.27482175
000792.SZ,18.87191787,2.766189674,-0.635785759
000826.SZ,65.97347901,44.76644391,45.20617835
000839.SZ,-9.125883414,34.69664788,13.2979266
000858.SZ,13.22541187,18.3223372,14.0704521
000876.SZ,5.436605917,6.155999695,13.55246239
000895.SZ,4.103426032,-6.696890753,8.135787357
000898.SZ,-2.952098235,-0.594834981,0.940332454
000938.SZ,34.55298594,490.4927215,14.74775416
000959.SZ,8.111178262,3.587434129,5.465609366
000961.SZ,14.17401302,21.7292753,49.4031762
000963.SZ,26.75616003,26.6199839,10.58821561
000983.SZ,8.370024472,3.161197879,7.375734544
001965.SZ,23.60380278,10.05983318,17.71350655
001979.SZ,25.33855076,18.88696185,30.06894536
002007.SZ,6.681181848,15.64020629,12.23209363
002008.SZ,5.36789801,36.75685087,36.00465056
002024.SZ,7.156194361,55.7379443,14.66053181
002027.SZ,41.27334373,-2.980468007,28.24244472
002044.SZ,110.4765307,33.66857079,38.43760097
002050.SZ,4.600767064,4.467442669,29.33694124
002065.SZ,40.79716769,11.39650239,13.8866575
002074.SZ,154.8026461,52.15694633,67.37527379
002081.SZ,14.2671826,8.134000628,5.077279981
002085.SZ,21.74942761,5.00033012,8.188553769
002142.SZ,29.29946544,23.5260396,16.61227574
002146.SZ,35.72817261,40.35492059,31.55395153
002153.SZ,113.3164619,14.79051687,12.05584995
002202.SZ,14.84375733,22.56842746,12.95940687
002230.SZ,62.29226874,24.11822044,28.1007313
002236.SZ,43.97396069,33.58053557,38.83200635
002241.SZ,8.391887375,19.0365586,15.96754928
002252.SZ,23.2055253,14.44802077,9.298561015
002294.SZ,16.69917091,21.2972228,5.054107616
002304.SZ,17.74339963,14.60039699,11.47838189
002310.SZ,35.43318794,35.65984031,46.24573932
002352.SZ,-8.145044153,27.12915296,30.64532418
002385.SZ,31.26566404,10.17291976,26.21307148
002411.SZ,179.1720959,96.54428427,10.22792072
002415.SZ,42.39408898,36.35837352,24.72290973
002450.SZ,68.87783698,42.36100333,29.65819964
002456.SZ,11.42573781,45.84592546,31.59517597
002460.SZ,29.32283111,50.68894852,110.019472
002466.SZ,22.64440741,49.08785613,59.20008683
002468.SZ,-3.088605297,180.0468546,10.60435518
002470.SZ,6.671857026,27.5257341,31.32316909
002475.SZ,19.55731743,80.84675322,28.30414077
002493.SZ,22.18920872,8.453578805,41.457165
002500.SZ,75.21891418,-0.255228745,7.476796108
002508.SZ,38.63415928,27.62400707,23.55985869
002555.SZ,35.37139191,38.13079736,43.43607653
002558.SZ,-6.313176393,376.2760411,47.84997032
002572.SZ,24.51487774,69.23371434,32.25414893
002594.SZ,22.84561385,25.61789807,22.76726744
002601.SZ,24.09726171,213.2863605,15.50145624
002602.SZ,20.76583876,8.541286935,16.53089555
002608.SZ,-66.74242223,0.419411469,5.925633545
002624.SZ,84.07401527,230.6470355,1.763527394
002625.SZ,10.66717505,5.127804937,1021.212156
002673.SZ,101.403988,-6.958805973,-5.426221552
002714.SZ,71.57116797,82.9679852,85.94102592
002736.SZ,51.44054757,-21.00382151,3.423572074
002739.SZ,237.9824134,23.50322254,21.21475631
002797.SZ,57.59283867,-4.728131262,4.477654969
002925.SZ,55.53577885,99.98801477,85.54921393
300003.SZ,101.8284082,22.90530029,34.63282625
300015.SZ,27.68924184,24.8511025,110.3182782
300017.SZ,77.26691002,147.0992586,18.4708663
300024.SZ,102.4687466,7.845699171,18.97138884
300027.SZ,82.24495906,10.94587053,1.521368221
300033.SZ,125.0556336,14.64228564,3.236308864
300059.SZ,283.8645188,13.70382779,55.06172183
300070.SZ,74.5394831,72.96657911,43.48337369
300072.SZ,93.7479138,80.9192068,37.42754311
300122.SZ,-1.209257523,1.038166251,51.5387572
300124.SZ,27.29913679,34.09320613,13.45955641
300136.SZ,86.06174413,62.462344,68.60152016
300144.SZ,81.84239626,8.305526519,15.69037659
300251.SZ,64.31743429,11.72641517,29.8917567
300408.SZ,18.51556299,17.79701297,26.36148888
300433.SZ,8.368905706,16.18940892,50.03458336
600000.SH,20.22028998,16.1152711,4.779997074
600008.SH,17.44576421,9.715970316,28.65942162
600009.SH,11.40275587,5.08682241,2.240803744
600010.SH,37.89348556,-2.409706121,3.678416022
600011.SH,-0.382588021,3.232213926,-0.280616352
600015.SH,9.125807128,16.61042936,6.480338336
600016.SH,12.59115507,30.41990511,0.105310881
600018.SH,4.492404962,18.54527219,20.93605757
600019.SH,2.392553156,14.46228961,-2.460013362
600023.SH,-0.519447039,2.097463346,3.392872681
600025.SH,3.540189962,3.497261206,3.647948949
600028.SH,-0.567671328,3.547442492,6.465662491
600029.SH,-1.817108336,7.486367219,8.908564873
600030.SH,28.45585182,-3.030214768,4.709403339
600031.SH,-2.827679247,-1.651847225,-5.389129686
600036.SH,15.7053224,8.535796856,5.979609617
600038.SH,11.3175551,-12.63652384,13.49587976
600048.SH,10.40763679,15.88863206,48.81550226
600050.SH,12.46422078,0.095555194,-6.866294861
600061.SH,41.90232898,-9.622801477,3.359131796
600066.SH,26.51009114,16.63838517,2.877668567
600068.SH,21.66774141,18.49024697,23.60319968
600085.SH,10.76101185,18.79488353,9.660733515
600089.SH,18.49785153,6.737754755,11.47363253
600100.SH,14.35057956,1.321569176,10.38451048
600104.SH,23.32293496,15.14207568,22.48527456
600109.SH,114.4225021,-14.89015863,-12.23443145
600111.SH,-17.82552486,7.456617063,31.87393609
600115.SH,19.66895354,7.328227113,8.289891503
600118.SH,9.671119087,12.80368207,-10.2624085
600153.SH,6.318466775,27.14598838,38.57769944
600157.SH,68.0231862,12.05691414,9.234615049
600170.SH,20.62918049,22.62255529,12.05854779
600176.SH,24.623401,-0.629307569,3.592418813
600177.SH,39.16863301,-3.569023114,4.704925914
600188.SH,4.02590584,4.717638746,27.33872908
600196.SH,8.109084273,14.57018341,41.59045423
600208.SH,25.7140485,25.26645046,11.64943491
600219.SH,9.75635117,1.271615345,7.859901452
600221.SH,2.786628238,18.15486301,33.21353909
600233.SH,2.252193549,80.02817155,26.64162784
600271.SH,36.22668117,22.54550888,9.808714553
600276.SH,26.52004414,24.6449692,25.8849331
600297.SH,23.29105473,47.68149404,20.79904409
600309.SH,14.9363307,6.193148152,29.67145121
600332.SH,11.2405207,63.17724166,9.335163696
600339.SH,-17.50086862,-13.39224495,2.002974948
600340.SH,47.96170048,48.20208806,50.4040445
600346.SH,-3.58609743,-11.85506945,-0.073848565
600352.SH,15.66202175,48.66119536,16.06648162
600362.SH,-5.840353618,-2.641761765,11.41679911
600369.SH,23.27540948,-1.044950604,-10.28933822
600372.SH,12.03481188,8.013373142,20.86840499
600373.SH,41.95166393,7.0682915,8.613723301
600376.SH,43.95022985,29.10853208,32.54704718
600383.SH,11.77432053,10.2536835,35.34876133
600390.SH,5.742022903,8.640720413,246.8306109
600398.SH,26.50399346,3.988856055,2.959819387
600406.SH,10.15505859,7.337926053,5.683065785
600415.SH,3.963175715,-8.39740079,-12.08019877
600436.SH,11.10480884,24.23958946,12.11751598
600438.SH,-1.449204976,37.57322859,19.39283634
600482.SH,0.186346873,37.25446252,0.294775846
600487.SH,24.97336064,27.46476679,43.04119554
600489.SH,31.15863828,5.373242065,-0.646600861
600498.SH,23.22153326,21.83113984,19.74644663
600516.SH,-5.914208468,-10.65351479,73.19594932
600518.SH,36.67920668,43.87499449,25.35048569
600519.SH,31.0115631,30.8605136,19.19304663
600522.SH,20.02652735,30.25208982,31.07265567
600535.SH,19.28082052,11.11798385,25.72396036
600547.SH,0.347960013,13.01940046,48.52055497
600549.SH,-7.685904429,-3.049936935,21.62009973
600570.SH,31.16321026,14.4190412,28.66169097
600583.SH,0.94729336,-5.189207857,-4.747349578
600585.SH,3.450550088,3.528720209,11.53135643
600588.SH,23.92506839,11.32515114,15.45724125
600606.SH,17.97344576,22.10091825,15.7398561
600637.SH,26.23761171,4.301635212,1.455737116
600660.SH,47.11761448,20.29596744,6.154736422
600663.SH,14.96721698,5.633606425,1.696652398
600674.SH,10.06405248,10.76416802,8.219027198
600682.SH,23.08892745,5.20448383,24.90697851
600688.SH,-10.02958231,21.77390895,16.07634613
600690.SH,-7.757311675,72.79364021,15.20809425
600703.SH,22.11325822,13.44440278,7.056337991
600704.SH,18.20476101,4.936176344,12.24041548
600705.SH,40.53714624,4.933513701,46.61408083
600739.SH,31.21658031,24.94986669,6.806967656
600741.SH,24.28484194,18.27681352,14.64609426
600795.SH,1.55294066,4.748986545,1.05541073
600804.SH,21.12779105,10.31900503,13.22113572
600809.SH,15.90924043,10.58654363,20.53708286
600816.SH,210.0583805,108.8197063,31.37360791
600820.SH,6.924283623,6.560874151,1.353179458
600837.SH,63.47495315,-2.70328322,-4.664130209
600867.SH,28.14102268,23.41204546,1.662183132
600886.SH,5.636139023,10.75827328,2.458038722
600887.SH,0.346048507,-0.93032136,25.56673798
600893.SH,8.280771032,3.628646879,4.741706673
600900.SH,-3.398928441,-1.846364205,0.168382974
600909.SH,65.59353437,-9.0131081,15.38117363
600919.SH,24.27256952,23.86663209,10.7776609
600926.SH,30.2893286,32.11166953,15.67334298
600958.SH,93.33890506,2.171033108,9.156255031
600959.SH,23.64440773,70.35857426,1.715989515
600977.SH,21.13385674,31.83460972,6.585709957
600999.SH,50.79805832,-16.66251559,17.52053116
601006.SH,-0.566395734,7.799601211,3.404011156
601009.SH,40.45537552,32.15814627,7.262241067
601012.SH,58.29081715,87.80438798,71.51578597
601018.SH,6.536093499,5.728727885,6.978676707
601021.SH,42.33454326,22.56893353,4.865297229
601088.SH,1.725027591,3.194967191,-0.794172801
601099.SH,140.2587623,18.39875272,16.54363742
601108.SH,23.86225757,-14.6383514,5.336010342
601111.SH,0.802666992,4.878092915,5.170980008
601117.SH,0.425177889,2.615104033,4.288241097
601155.SH,32.64934031,52.16428954,77.88657625
601166.SH,20.25420304,14.85247826,5.437934766
601169.SH,21.0223184,14.71237877,10.08656931
601186.SH,11.63154074,9.086199894,8.236364525
601198.SH,71.75811538,-0.769385093,7.086725969
601211.SH,42.29216902,-9.374724163,4.832833443
601212.SH,32.52019594,-1.502645229,5.766619443
601216.SH,67.24130536,-11.94080579,24.13587896
601225.SH,0.503136812,-2.223210926,12.50743504
601228.SH,9.718360292,5.473067961,5.524780905
601229.SH,22.03779577,21.13187905,2.984886554
601238.SH,7.621462419,22.22323861,45.69275689
601288.SH,11.3761344,9.997350966,7.579542036
601318.SH,18.95319192,17.03498246,16.42797086
601328.SH,14.15157445,17.43872637,7.557722887
601333.SH,4.606297852,2.901977183,3.419445108
601336.SH,2.617797794,5.846705825,1.586713598
601360.SH,-0.626739702,0.398539132,52.04747495
601377.SH,54.88074871,19.95884785,12.09989925
601390.SH,4.48292069,5.722770936,11.87185621
601398.SH,7.76240004,8.678541615,8.077874606
601555.SH,40.24987529,11.02824224,5.458127864
601600.SH,-1.853499867,-1.031695546,5.05753035
601601.SH,11.96739789,10.48327476,14.74803369
601607.SH,15.54797256,11.29678763,14.02148418
601611.SH,27.82168561,16.62872087,17.06698235
601618.SH,5.455679177,9.81164429,9.821031675
601628.SH,8.980279689,10.15539259,7.439512249
601633.SH,17.22280744,28.36650814,19.75742505
601668.SH,16.95110766,29.49548191,11.42495437
601669.SH,22.24627828,23.49409578,15.12498833
601688.SH,66.26426436,-11.30414617,-4.973929015
601718.SH,21.92281826,6.353209544,16.66058576
601727.SH,12.93836296,6.143814432,6.829957869
601766.SH,4.310396088,8.539434876,10.89158938
601788.SH,71.4499866,-9.862121959,15.89030735
601800.SH,15.96841002,9.631651784,6.085396054
601808.SH,7.655594016,-13.87969772,-8.302021364
601818.SH,15.73615003,26.90688226,1.696524564
601828.SH,2.631563848,-1.990783958,18.98466091
601838.SH,7.066455555,12.288689,20.38880239
601857.SH,-0.4690327,0.119293562,0.332088696
601866.SH,6.230596753,11.77441098,10.83871266
601877.SH,-0.746167216,17.12263833,24.88817257
601878.SH,57.86083591,-3.158717954,-1.520122357
601881.SH,67.00701133,-18.21853299,3.633653206
601888.SH,7.010141172,9.893206306,21.0817162
601898.SH,5.880862541,-5.887916923,2.874109066
601899.SH,11.64781005,6.320357124,0.109354187
601901.SH,77.65572211,-1.351124072,-2.627348119
601919.SH,-0.421478034,-25.44698994,11.31380028
601933.SH,31.16709925,44.98652373,11.65917205
601939.SH,9.587834946,14.24680546,5.536607198
601958.SH,1.013732565,-2.818309195,0.301259234
601985.SH,18.33082943,7.15122805,7.497312307
601988.SH,10.25621809,7.92890077,7.26510036
601989.SH,-0.169193699,-11.24785157,6.059044016
601991.SH,0.309816078,-23.12236048,1.051082888
601992.SH,13.01961141,59.38995783,11.42547727
601997.SH,52.5927371,56.27984284,24.67491763
601998.SH,23.76228462,15.78898665,-4.271739405
603160.SH,38.57325203,130.8274143,37.40595427
603260.SH,11.13636448,15.53473603,91.20105404
603288.SH,4.521643568,17.09506325,21.33471546
603799.SH,21.40922415,10.79184805,56.69545893
